id,category,pattern,hook,body,cta,diagnosis_intent,status,created_at
17,元人事,ストーリー型,"「自己PRをどうぞ」と言われて、頭が真っ白になった。","恥ずかしかった。準備してたのに、何も言えなかった。\n\n固まるのは、自分の強みを言語化できてないから。\n\nでも、日常の行動の中に必ず材料はあります。探し方がわからないだけです。","→ プロフィールの診断で整理できます",high,draft,2026-06-18
18,元人事,ストーリー型,"転職を決めたとき「逃げだ」と言われた。","傷ついた。でも今は、そう言った人の方が不幸だと思ってる。\n\n合わない職場を続けることの方が、長い目で見てリスクです。\n判断のタイミングが早かっただけ。","",low,draft,2026-06-18
19,元人事,ストーリー型,"20社受けて、1社も内定が出なかった。","当時は「自分がダメなんだ」と思ってた。\n\n今ならわかる。自己分析が浅かっただけです。\n\nなぜ転職したいのか、何ができるのか、どこに行きたいのか。\nここが曖昧だと、面接で詰まります。","→ プロフィールに診断あります",high,draft,2026-06-18
20,元人事,ストーリー型,"既卒になった瞬間、焦りが止まらなかった。","毎日「手遅れかも」と思ってた。\n\n元人事として正直に言います。手遅れはないです。\nただ、動くのが早いほど選択肢が広い。\n\n👇 今の状況を整理してみてください\nhttps://ren-os.github.io/threads-os/career-diagnosis/","→ プロフィールに診断リンクあります",high,draft,2026-06-18
21,ブラック企業,ストーリー型,"ブラック企業に入って、3ヶ月で後悔した。","見分ける方法を、あのとき知りたかった。\n\n・面接室が汚い\n・面接官が途中でスマホを見る\n・残業のことを聞いたら態度が変わった\n\nこういう会社は、入ってからもそのままです。","→ プロフィールへ",medium,draft,2026-06-18
22,ブラック企業,許可型,"「残業代はありますか？」と聞けなくて、後悔した。","聞いたら印象悪くなるかもと思ってた。\n\n聞いていい。むしろ聞かないと後悔します。\n\n聞いて態度が変わる会社は、最初から候補から外していい。","→ プロフィールへ",medium,draft,2026-06-18
23,ブラック企業,ストーリー型,"辞めると言ったとき、泣いた。","怖くて、ずっと言えなかった。\n\n退職を告げた翌日、朝起きて「会社に行かなくていい」と気づいたとき。\n\n体が軽くて、それまでどれだけ重かったか気づいた。","→ プロフィールへ",low,draft,2026-06-18
24,ブラック企業,ストーリー型,"「アットホームな職場」に入って、後悔した。","善意で書いてる会社もある。\n\nでも「社内の人間関係が密接で断りにくい」環境のこともある。\n\n求人票の言葉を、ひとつひとつ確認する習慣を持った方がいい。","→ 詳しくはプロフィールへ",medium,draft,2026-06-18
25,ブラック企業,ストーリー型,"会社を辞めたいのに、怖くて1年動けなかった。","「辞めたら終わる」と思ってた。\n\n転職サイトを開いたとき、「逃げ場はある」と気づいた。\n決断は後でいい。でも選択肢を知ることは、今すぐできます。","→ プロフィールへ",medium,draft,2026-06-18
26,ブラック企業,共感型,"「みんな頑張ってるんだから」と言われるたびに、泣きそうになった。","弱いのは自分だけだと思ってた。\n\n比べるのは、みんなじゃなくて、過去の自分でいい。\n\nしんどいなら、その感覚を大事にしていい。","",low,draft,2026-06-18
27,ブラック企業,ストーリー型,"ブラック企業を辞めた後の面接で、余計なことを言って落ちた。","「前の会社がひどくて」と正直に話した。\n\n事実でも、リスクになる。\n\n「もっと●●な環境で働きたい」という前向きな表現に変換するだけで、通過率が変わります。","→ プロフィールの診断で次の一手を",high,draft,2026-06-18
28,ブラック企業,ストーリー型,"「3年は頑張れ」と言われて、2年半後に体を壊した。","3年いれば何でも身につく時代じゃなくなった。\n\n合わない環境で消耗するより、早めに動いて次で成長した方が、長い目でプラスになることの方が多い。","→ プロフィールへ",medium,draft,2026-06-18
29,ブラック企業,ストーリー型,"残業80時間を超えたとき、日曜の夜が怖かった。","日曜の夜になると、胃が痛くなる。\n朝、起き上がれない日がある。\n\nこれ、普通じゃないです。\nサインに気づいた方がいい。","→ プロフィールへ",medium,draft,2026-06-18
30,ブラック企業,ストーリー型,"「自分だけが弱い」と思って、泣いた夜の話。","みんな普通に働いてるのに、なんで自分だけ、と思ってた。\n\n実際は、みんなしんどいのを言えないでいるだけだった。\nあの職場、1年以内に半分辞めた。","→ プロフィールへ",medium,draft,2026-06-18
31,第二新卒,ストーリー型,"第二新卒で転職する、と言ったとき親に泣かれた。","「せっかく入ったのに」と言われた。\n\n今は言ってよかったと思ってる。\n\n合わない環境で消耗するより、早く次に行った方が、その後の伸びが全然違う。","→ プロフィールへ",medium,draft,2026-06-18
32,第二新卒,告白型,"第二新卒であることが、ずっと恥ずかしかった。","でも採用担当として正直に言うと、有利です。\n\n社会人経験があって、まだ柔軟性がある。\n育成コストを考えると、企業側としてはおいしい。\n遠慮する必要はないです。","→ プロフィールに診断あります",medium,draft,2026-06-18
33,第二新卒,ストーリー型,"1年で辞めた。そのことを、ずっと後悔していた。","でも、後悔のポイントがずれてた。\n\n後悔すべきは「辞めたこと」じゃなくて「なぜ辞めたかを整理しなかったこと」だった。\n\n自分に正直になることが、次の会社選びを変えます。","→ プロフィールの診断で整理できます",high,draft,2026-06-18
34,第二新卒,共感型,"第二新卒で、どこにも受からないかもと焦っていた。","その不安、全部わかります。\n\n「第二新卒はハードルが高い」は嘘です。\n「第二新卒歓迎」の求人は増えてる。\n\nスキルより、なぜここで働きたいかを伝えることが大事。","→ プロフィールへ",medium,draft,2026-06-18
35,第二新卒,ストーリー型,"転職1社目で失敗して、また同じ失敗をするのが怖かった。","「どうせまた合わない会社に入る」って思ってた。\n\n「なんとなく転職する」を繰り返すと、また同じになる。\n\nなぜ動くのかを言語化してから動くと、選ぶ会社が変わります。\n\n👇 まず今の状況を整理してみてください\nhttps://ren-os.github.io/threads-os/career-diagnosis/","→ プロフィールリンクから診断できます",high,draft,2026-06-18
36,第二新卒,共感型,"また同じ会社に入ったら、と思うと夜眠れなかった。","その不安の正体は、「選ぶ基準が変わってないこと」だと気づいた。\n\n前の会社の何がしんどかったかを整理するだけで、次の選択基準が見えてきます。","→ プロフィールへ",medium,draft,2026-06-18
37,第二新卒,タイミング型,"25歳の誕生日に、焦りで眠れなかった。","「このままでいいのか」が止まらなかった。\n\n年齢で求人の幅は変わります。\n25歳と28歳では、選べる求人が違う。\n\n迷ってること自体が、動くサインかもしれない。","→ まずはプロフィールを見てください",medium,draft,2026-06-18
38,第二新卒,ストーリー型,"第二新卒を後悔した日と、してよかった日の話。","後悔した日：転職直後、また慣れない環境に不安になった。\n\nしてよかった日：転職先の上司に「若いからこそ教えがいがある」と言われた。\n\n前の会社では「もう若くないんだから」と言われてたのと、正反対だった。","",low,draft,2026-06-18
39,第二新卒,ストーリー型,"書類で何社も落とされて、恥ずかしくなった。","自分に価値がないのかと思った。\n\nでも原因はほぼひとつ。退職理由が「なんとなく合わなかった」だと、どの会社に出しても刺さらない。\n\n「ここが合わなかった、だから次はここを重視する」まで言えると変わります。","→ プロフィールに診断あります",high,draft,2026-06-18
40,第二新卒,ストーリー型,"「第二新卒でも受かりますか」と聞いて、声が震えた。","受かりました。でも、聞いてよかった。\n\n「何でもいいから受かりたい」だと厳しい。\n\n自分が何をしたいかを少しでも整理してから動くと、格段に変わります。","→ プロフィールへ",medium,draft,2026-06-18
41,フリーター,ストーリー型,"フリーターのまま年齢が増えていくのが、怖かった。","「このままじゃいけない」と思いながら、動けなかった。\n\n実際に動いたら、思ってたより進んだ。\n\n動く前の不安と、動いた後の現実は、ほとんどいつも違う。","→ プロフィールへ",medium,draft,2026-06-18
42,フリーター,ストーリー型,"フリーターで30社落ちて、自信が全部なくなった。","落ちた原因、今ならわかる。\n\n「とりあえず数を受けた」からです。\n方向性が固まってないまま数だけ受けると、全部落ちて自信を失う。\n\nまず方向を決める方が先。","→ プロフィールに診断あります",high,draft,2026-06-18
43,フリーター,共感型,"フリーターだと言うとき、ずっと恥ずかしかった。","面接でも、日常でも。\n\nでもその恥ずかしさは、動けば消えます。\n\n「フリーターだから採らない」より「フリーターでも採る」会社の方が多い。\nターゲットを変えるだけで変わります。","→ プロフィールへ",medium,draft,2026-06-18
44,フリーター,ストーリー型,"フリーター歴2年。「もう無理かも」と思った夜の話。","あの夜、転職サイトを開いた。\n\nフリーター歴2年でも、受かる会社はあります。\nただし「どこでもいい」だと続かない。\n\n「続けられる会社に入る」の方が長い目でいい。","→ 診断で方向性を確認（プロフィールリンクへ）",medium,draft,2026-06-18
45,フリーター,共感型,"正社員になりたいのに動けない。その焦りの正体を知った。","「何から始めればいいかわからない」だった。\n\n最初の一歩が一番重い。\n\nでも「何かしなければ」という感覚があるなら、それがスタートラインです。","→ プロフィールの診断が一歩目になります",high,draft,2026-06-18
46,フリーター,ストーリー型,"エージェントに初めて電話して、声が震えた。","「正社員じゃないのに相談していいのかな」と思ってた。\n\n担当の人は「まず方向を整理しましょう」と言った。\n\n焦らせない対応に、信頼できると思った。","→ プロフィールへ",medium,draft,2026-06-18
47,フリーター,ストーリー型,"アルバイトを辞めるのが怖くて、3年続けた。","「また失敗したら？」という怖さで動けなかった。\n\nでもアルバイトを続けることも、将来への怖さがある。\n\nどちらも怖いなら、可能性がある方を選んだ。","→ プロフィールへ",low,draft,2026-06-18
48,フリーター,ストーリー型,"フリーターを続けていた28歳の自分に、言いたいこと。","「今すぐ動け」とは言わない。\n\nただ、「いつでも正社員になれる」というのは、25歳までくらいの話です。\n\n30を過ぎると選択肢は減る。動ける今、一度整理する価値はあります。","→ プロフィールに診断あります",medium,draft,2026-06-18
49,フリーター,ストーリー型,"「なぜフリーターだったんですか」と聞かれて、固まった。","恥ずかしくて、何も言えなかった。\n\n正直に答えつつ、前向きな理由も添えると印象が変わります。\n\n「探していた時期でした。その中でこういうことを学びました」で十分です。","→ プロフィールへ",medium,draft,2026-06-18
50,フリーター,ストーリー型,"「正社員になれないかも」と泣いた夜、何度もあった。","それでも動いたら、思ってたより早く内定が出た。\n\n無理じゃないです。\n\n無理だと感じてるのは「何から始めるか」がわからないから。\n最初の一歩さえ踏み出せれば、思ったより進みます。\n\n👇 転職タイプ診断\nhttps://ren-os.github.io/threads-os/career-diagnosis/","→ プロフィールリンクから診断できます",high,draft,2026-06-18
